version,ciclo_id,ts,portfolio,mercado,exposicion,estrategia,universo,senales,ordenes,riesgo,deriva
v1,1,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 30000, 'ETH': 2000, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},[],{'aprobado': True},False
v1,2,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 30000, 'ETH': 2000, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},[],{'aprobado': True},False
v1,3,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 30000, 'ETH': 2000, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},[],{'aprobado': True},False
v1,4,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 30000, 'ETH': 2000, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},[],{'aprobado': True},False
v1,1,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 30000, 'ETH': 2000, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},[],{'aprobado': True},False
v1,1,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 113414.79, 'ETH': 4281.5, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},"[{'status': 'rejected', 'orden': {'symbol': 'BTC/USDT', 'side': 'sell', 'amount': 699.5, 'type': 'market', 'price': None}}, {'status': 'error', 'message': 'binance {""code"":-2015,""msg"":""Invalid API-key, IP, or permissions for action.""}'}, {'status': 'error', 'message': 'binance does not have market symbol USDT/USDT'}]","{'aprobado': True, 'motivo': None}",False
v1,2,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 113414.79, 'ETH': 4281.81, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},"[{'status': 'rejected', 'orden': {'symbol': 'BTC/USDT', 'side': 'sell', 'amount': 699.5, 'type': 'market', 'price': None}}, {'status': 'error', 'message': 'binance {""code"":-2015,""msg"":""Invalid API-key, IP, or permissions for action.""}'}, {'status': 'error', 'message': 'binance does not have market symbol USDT/USDT'}]","{'aprobado': True, 'motivo': None}",False
v1,3,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 113545.24, 'ETH': 4286.03, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},"[{'status': 'rejected', 'orden': {'symbol': 'BTC/USDT', 'side': 'sell', 'amount': 699.5, 'type': 'market', 'price': None}}, {'status': 'error', 'message': 'binance {""code"":-2015,""msg"":""Invalid API-key, IP, or permissions for action.""}'}, {'status': 'error', 'message': 'binance does not have market symbol USDT/USDT'}]","{'aprobado': True, 'motivo': None}",False
v1,1,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 113600.0, 'ETH': 4297.24, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},"[{'status': 'rejected', 'orden': {'symbol': 'BTC/USDT', 'side': 'sell', 'amount': 699.5, 'type': 'market', 'price': None}}, {'status': 'error', 'message': 'binance {""code"":-2015,""msg"":""Invalid API-key, IP, or permissions for action.""}'}, {'status': 'error', 'message': 'binance does not have market symbol USDT/USDT'}]","{'aprobado': True, 'motivo': None}",False
v1,2,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 113600.0, 'ETH': 4289.42, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},"[{'status': 'rejected', 'orden': {'symbol': 'BTC/USDT', 'side': 'sell', 'amount': 699.5, 'type': 'market', 'price': None}}, {'status': 'error', 'message': 'binance {""code"":-2015,""msg"":""Invalid API-key, IP, or permissions for action.""}'}, {'status': 'error', 'message': 'binance does not have market symbol USDT/USDT'}]","{'aprobado': True, 'motivo': None}",False
v1,3,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 113606.54, 'ETH': 4289.42, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},"[{'status': 'rejected', 'orden': {'symbol': 'BTC/USDT', 'side': 'sell', 'amount': 699.5, 'type': 'market', 'price': None}}, {'status': 'error', 'message': 'binance {""code"":-2015,""msg"":""Invalid API-key, IP, or permissions for action.""}'}, {'status': 'error', 'message': 'binance does not have market symbol USDT/USDT'}]","{'aprobado': True, 'motivo': None}",False
v1,1,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 113654.52, 'ETH': 4295.35, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},"[{'status': 'rejected', 'orden': {'symbol': 'BTC/USDT', 'side': 'sell', 'amount': 699.5, 'type': 'market', 'price': None}}, {'status': 'error', 'message': 'binance {""code"":-2015,""msg"":""Invalid API-key, IP, or permissions for action.""}'}, {'status': 'error', 'message': 'binance does not have market symbol USDT/USDT'}]","{'aprobado': True, 'motivo': None}",False
v1,2,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 113654.53, 'ETH': 4301.58, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},"[{'status': 'rejected', 'orden': {'symbol': 'BTC/USDT', 'side': 'sell', 'amount': 699.5, 'type': 'market', 'price': None}}, {'status': 'error', 'message': 'binance {""code"":-2015,""msg"":""Invalid API-key, IP, or permissions for action.""}'}, {'status': 'error', 'message': 'binance does not have market symbol USDT/USDT'}]","{'aprobado': True, 'motivo': None}",False
v1,1,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 113631.08, 'ETH': 4295.07, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},"[{'status': 'rejected', 'orden': {'symbol': 'BTC/USDT', 'side': 'sell', 'amount': 699.5, 'type': 'market', 'price': None}}, {'status': 'error', 'message': 'binance {""code"":-2015,""msg"":""Invalid API-key, IP, or permissions for action.""}'}, {'status': 'error', 'message': 'binance does not have market symbol USDT/USDT'}]","{'aprobado': True, 'motivo': None}",False
