operation_id,symbol,sell_date,buy_date,quantity,buy_price,sell_price,cost_basis,sell_value,gain_loss,holding_period_days
BTCUSDT_2026-02-12T23:06:28.097314_1507573389120,BTCUSDT,2026-02-12T23:06:28.097314,2026-02-12T16:29:21.561813,0.001,50000.0,66409.828475,50.0,66.41,16.41,0
BTCUSDT_2026-02-12T23:06:28.097314_1507573389120,BTCUSDT,2026-02-12T23:06:28.097314,2026-02-12T20:18:48.090567,0.0005187821710044979,65813.860485,66409.828475,34.14,34.45,0.31,0
BTCUSDT_2026-02-12T23:11:28.685543_1507573386368,BTCUSDT,2026-02-12T23:11:28.685543,2026-02-12T20:18:48.090567,0.0010014143235135976,65813.860485,66292.31726,65.91,66.39,0.48,0
BTCUSDT_2026-02-12T23:11:28.685543_1507573386368,BTCUSDT,2026-02-12T23:11:28.685543,2026-02-12T20:45:17.057581,0.0011151699113086083,65593.46033999999,66292.31726,73.15,73.93,0.78,0
BTCUSDT_2026-02-12T23:16:29.614233_1509573171072,BTCUSDT,2026-02-12T23:16:29.614233,2026-02-12T20:45:17.057581,0.00041013458522803545,65593.46033999999,66293.58662500001,26.9,27.19,0.29,0
BTCUSDT_2026-02-12T23:16:29.614233_1509573171072,BTCUSDT,2026-02-12T23:16:29.614233,2026-02-12T23:06:28.016876,0.0017026822693654196,66476.271525,66293.58662500001,113.19,112.88,-0.31,0
BTCUSDT_2026-02-12T23:21:30.457258_1507574177600,BTCUSDT,2026-02-12T23:21:30.457258,2026-02-12T23:06:28.016876,0.001306285184717438,66476.271525,66347.739535,86.84,86.67,-0.17,0
BTCUSDT_2026-02-12T23:21:30.457258_1507574177600,BTCUSDT,2026-02-12T23:21:30.457258,2026-02-12T23:07:06.844993,0.0008035937100992101,66490.73875499998,66347.739535,53.43,53.32,-0.11,0
BTCUSDT_2026-02-12T23:26:31.149055_1507574481536,BTCUSDT,2026-02-12T23:26:31.149055,2026-02-12T23:07:06.844993,0.0003241340445435841,66490.73875499998,66428.769,21.55,21.53,-0.02,0
BTCUSDT_2026-02-12T23:26:31.149055_1507574481536,BTCUSDT,2026-02-12T23:26:31.149055,2026-02-12T23:07:42.979117,0.0005631381254987494,66476.531655,66428.769,37.44,37.41,-0.03,0
BTCUSDT_2026-02-12T23:26:31.149055_1507574481536,BTCUSDT,2026-02-12T23:26:31.149055,2026-02-12T23:08:19.098892,0.0002813977554484799,66417.192,66428.769,18.69,18.69,0.0,0
BTCUSDT_2026-02-12T23:26:31.149055_1507574481536,BTCUSDT,2026-02-12T23:26:31.149055,2026-02-12T23:08:55.225635,0.00014043079049368116,66444.13546499998,66428.769,9.33,9.33,-0.0,0
BTCUSDT_2026-02-12T23:26:31.149055_1507574481536,BTCUSDT,2026-02-12T23:26:31.149055,2026-02-12T23:11:55.752700,0.0007959285285593966,66358.64274,66428.769,52.82,52.87,0.06,0
BTCUSDT_2026-02-12T23:31:31.975013_1507574384192,BTCUSDT,2026-02-12T23:31:31.975013,2026-02-12T23:11:55.752700,0.0003309770426773327,66358.64274,66338.72404500001,21.96,21.96,-0.01,0
BTCUSDT_2026-02-12T23:31:31.975013_1507574384192,BTCUSDT,2026-02-12T23:31:31.975013,2026-02-12T23:12:32.187641,0.000563120645902494,66298.15251,66338.72404500001,37.33,37.36,0.02,0
BTCUSDT_2026-02-12T23:31:31.975013_1507574384192,BTCUSDT,2026-02-12T23:31:31.975013,2026-02-12T23:13:11.051228,0.00028108787240970097,66309.9384,66338.72404500001,18.64,18.65,0.01,0
BTCUSDT_2026-02-12T23:31:31.975013_1507574384192,BTCUSDT,2026-02-12T23:31:31.975013,2026-02-12T23:13:47.115822,0.0001402945878116223,66328.117485,66338.72404500001,9.31,9.31,0.0,0
BTCUSDT_2026-02-12T23:31:31.975013_1507574384192,BTCUSDT,2026-02-12T23:31:31.975013,2026-02-12T23:16:47.630239,0.0007864836433507896,66359.91337499999,66338.72404500001,52.19,52.17,-0.02,0
BTCUSDT_2026-02-12T23:36:32.893978_1507574388736,BTCUSDT,2026-02-12T23:36:32.893978,2026-02-12T23:16:47.630239,0.00033834917724621255,66359.91337499999,66302.15234000002,22.45,22.43,-0.02,0
BTCUSDT_2026-02-12T23:36:32.893978_1507574388736,BTCUSDT,2026-02-12T23:36:32.893978,2026-02-12T23:17:23.718388,0.000561519676878385,66366.156495,66302.15234000002,37.27,37.23,-0.04,0
BTCUSDT_2026-02-12T23:36:32.893978_1507574388736,BTCUSDT,2026-02-12T23:36:32.893978,2026-02-12T23:17:59.874690,0.0002802813890530417,66379.69326,66302.15234000002,18.6,18.58,-0.02,0
BTCUSDT_2026-02-12T23:36:32.893978_1507574388736,BTCUSDT,2026-02-12T23:36:32.893978,2026-02-12T23:18:36.270624,0.00013997980450864992,66356.271555,66302.15234000002,9.29,9.28,-0.01,0
BTCUSDT_2026-02-12T23:36:32.893978_1507574388736,BTCUSDT,2026-02-12T23:36:32.893978,2026-02-12T23:21:39.447356,0.0007782150250493417,66414.12046499999,66302.15234000002,51.68,51.6,-0.09,0
BTCUSDT_2026-02-12T23:41:33.720479_1507574383424,BTCUSDT,2026-02-12T23:41:33.720479,2026-02-12T23:21:39.447356,0.00034496655100438604,66414.12046499999,66223.25181,22.91,22.84,-0.07,0
BTCUSDT_2026-02-12T23:41:33.720479_1507574383424,BTCUSDT,2026-02-12T23:41:33.720479,2026-02-12T23:22:15.539945,0.0005607052113994155,66419.20300499999,66223.25181,37.24,37.13,-0.11,0
BTCUSDT_2026-02-12T23:41:33.720479_1507574383424,BTCUSDT,2026-02-12T23:41:33.720479,2026-02-12T23:22:51.652925,0.0002798518837953943,66438.2025,66223.25181,18.59,18.53,-0.06,0
BTCUSDT_2026-02-12T23:41:33.720479_1507574383424,BTCUSDT,2026-02-12T23:41:33.720479,2026-02-12T23:23:27.736512,0.00013977494087285245,66410.178495,66223.25181,9.28,9.26,-0.03,0
BTCUSDT_2026-02-12T23:41:33.720479_1507574383424,BTCUSDT,2026-02-12T23:41:33.720479,2026-02-12T23:27:07.289566,0.0007682795734656704,66469.24801499999,66223.25181,51.07,50.88,-0.19,0
BTCUSDT_2026-02-12T23:46:34.484409_1507574390336,BTCUSDT,2026-02-12T23:46:34.484409,2026-02-12T23:27:07.289566,0.0003527882068976037,66469.24801499999,66186.060415,23.45,23.35,-0.1,0
BTCUSDT_2026-02-12T23:46:34.484409_1507574390336,BTCUSDT,2026-02-12T23:46:34.484409,2026-02-12T23:27:43.368473,0.000560190973745925,66410.138475,66186.060415,37.2,37.08,-0.13,0
BTCUSDT_2026-02-12T23:46:34.484409_1507574390336,BTCUSDT,2026-02-12T23:46:34.484409,2026-02-12T23:28:19.501005,0.0002794982669146953,66452.179485,66186.060415,18.57,18.5,-0.07,0
BTCUSDT_2026-02-12T23:46:34.484409_1507574390336,BTCUSDT,2026-02-12T23:46:34.484409,2026-02-12T23:28:55.616186,0.00013960451399851984,66421.20400499999,66186.060415,9.27,9.24,-0.03,0
BTCUSDT_2026-02-12T23:46:34.484409_1507574390336,BTCUSDT,2026-02-12T23:46:34.484409,2026-02-12T23:31:44.005443,0.000758320263943297,66405.095955,66186.060415,50.36,50.19,-0.17,0
BTCUSDT_2026-02-12T23:51:35.276303_1507573243200,BTCUSDT,2026-02-12T23:51:35.276303,2026-02-12T23:31:44.005443,0.00036080011019335215,66405.095955,66161.852525,23.96,23.87,-0.09,0
