operation_id,timestamp,symbol,side,quantity,price,total_value,commission,net_value,exchange,tax_year
BTCUSDT_2026-02-12T16:29:21.561813_2837773664064,2026-02-12T16:29:21.561813,BTCUSDT,buy,0.001,50000.0,50.0,0.25,49.75,Binance,2026
BTCUSDT_2026-02-12T20:18:48.090567_2949490830144,2026-02-12T20:18:48.090567,BTCUSDT,buy,0.0015201964945180954,65813.860485,100.05,0.1,99.95,Binance,2026
BTCUSDT_2026-02-12T20:45:17.057581_1509573291328,2026-02-12T20:45:17.057581,BTCUSDT,buy,0.0015253044965366437,65593.46033999999,100.05,0.1,99.95,Binance,2026
BTCUSDT_2026-02-12T23:06:28.016876_1509678766464,2026-02-12T23:06:28.016876,BTCUSDT,buy,0.0030089674540828577,66476.271525,200.02,0.2,199.82,Binance,2026
BTCUSDT_2026-02-12T23:06:28.097314_1507573389120,2026-02-12T23:06:28.097314,BTCUSDT,sell,0.0015187821710044979,66409.828475,100.86,0.1,100.76,Binance,2026
ETHUSDT_2026-02-12T23:06:28.100163_1507573399232,2026-02-12T23:06:28.100163,ETHUSDT,buy,0.07715269122806953,1948.65384,150.34,0.15,150.19,Binance,2026
BTCUSDT_2026-02-12T23:07:06.844993_1507573393856,2026-02-12T23:07:06.844993,BTCUSDT,buy,0.0011277277546427942,66490.73875499998,74.98,0.07,74.91,Binance,2026
BTCUSDT_2026-02-12T23:07:42.979117_1507573387264,2026-02-12T23:07:42.979117,BTCUSDT,buy,0.0005631381254987494,66476.531655,37.44,0.04,37.4,Binance,2026
BTCUSDT_2026-02-12T23:08:19.098892_1507573535488,2026-02-12T23:08:19.098892,BTCUSDT,buy,0.0002813977554484799,66417.192,18.69,0.02,18.67,Binance,2026
BTCUSDT_2026-02-12T23:08:55.225635_1507573535168,2026-02-12T23:08:55.225635,BTCUSDT,buy,0.00014043079049368116,66444.13546499998,9.33,0.01,9.32,Binance,2026
BTCUSDT_2026-02-12T23:11:28.685543_1507573386368,2026-02-12T23:11:28.685543,BTCUSDT,sell,0.002116584234822206,66292.31726,140.31,0.14,140.17,Binance,2026
BTCUSDT_2026-02-12T23:11:55.752700_1507573158208,2026-02-12T23:11:55.752700,BTCUSDT,buy,0.0011269055712367292,66358.64274,74.78,0.07,74.71,Binance,2026
BTCUSDT_2026-02-12T23:12:32.187641_1507573020288,2026-02-12T23:12:32.187641,BTCUSDT,buy,0.000563120645902494,66298.15251,37.33,0.04,37.3,Binance,2026
BTCUSDT_2026-02-12T23:13:11.051228_1507573018688,2026-02-12T23:13:11.051228,BTCUSDT,buy,0.00028108787240970097,66309.9384,18.64,0.02,18.62,Binance,2026
BTCUSDT_2026-02-12T23:13:47.115822_1507573389248,2026-02-12T23:13:47.115822,BTCUSDT,buy,0.0001402945878116223,66328.117485,9.31,0.01,9.3,Binance,2026
BTCUSDT_2026-02-12T23:16:29.614233_1509573171072,2026-02-12T23:16:29.614233,BTCUSDT,sell,0.002112816854593455,66293.58662500001,140.07,0.14,139.93,Binance,2026
BTCUSDT_2026-02-12T23:16:47.630239_1507573419968,2026-02-12T23:16:47.630239,BTCUSDT,buy,0.0011248328205970021,66359.91337499999,74.64,0.07,74.57,Binance,2026
BTCUSDT_2026-02-12T23:17:23.718388_1507573384000,2026-02-12T23:17:23.718388,BTCUSDT,buy,0.000561519676878385,66366.156495,37.27,0.04,37.23,Binance,2026
BTCUSDT_2026-02-12T23:17:59.874690_1507574179008,2026-02-12T23:17:59.874690,BTCUSDT,buy,0.0002802813890530417,66379.69326,18.6,0.02,18.59,Binance,2026
BTCUSDT_2026-02-12T23:18:36.270624_1507573457408,2026-02-12T23:18:36.270624,BTCUSDT,buy,0.00013997980450864992,66356.271555,9.29,0.01,9.28,Binance,2026
BTCUSDT_2026-02-12T23:21:30.457258_1507574177600,2026-02-12T23:21:30.457258,BTCUSDT,sell,0.0021098788948166482,66347.739535,139.99,0.14,139.85,Binance,2026
BTCUSDT_2026-02-12T23:21:39.447356_1507573390208,2026-02-12T23:21:39.447356,BTCUSDT,buy,0.0011231815760537277,66414.12046499999,74.6,0.07,74.52,Binance,2026
BTCUSDT_2026-02-12T23:22:15.539945_1507573012928,2026-02-12T23:22:15.539945,BTCUSDT,buy,0.0005607052113994155,66419.20300499999,37.24,0.04,37.2,Binance,2026
BTCUSDT_2026-02-12T23:22:51.652925_1507573006976,2026-02-12T23:22:51.652925,BTCUSDT,buy,0.0002798518837953943,66438.2025,18.59,0.02,18.57,Binance,2026
BTCUSDT_2026-02-12T23:23:27.736512_1507573009088,2026-02-12T23:23:27.736512,BTCUSDT,buy,0.00013977494087285245,66410.178495,9.28,0.01,9.27,Binance,2026
BTCUSDT_2026-02-12T23:26:31.149055_1507574481536,2026-02-12T23:26:31.149055,BTCUSDT,sell,0.0021050292445438912,66428.769,139.83,0.14,139.69,Binance,2026
BTCUSDT_2026-02-12T23:27:07.289566_1507574486912,2026-02-12T23:27:07.289566,BTCUSDT,buy,0.0011210677803632741,66469.24801499999,74.52,0.07,74.44,Binance,2026
BTCUSDT_2026-02-12T23:27:43.368473_1507573019520,2026-02-12T23:27:43.368473,BTCUSDT,buy,0.000560190973745925,66410.138475,37.2,0.04,37.17,Binance,2026
BTCUSDT_2026-02-12T23:28:19.501005_1507574466496,2026-02-12T23:28:19.501005,BTCUSDT,buy,0.0002794982669146953,66452.179485,18.57,0.02,18.55,Binance,2026
BTCUSDT_2026-02-12T23:28:55.616186_1507574465728,2026-02-12T23:28:55.616186,BTCUSDT,buy,0.00013960451399851984,66421.20400499999,9.27,0.01,9.26,Binance,2026
BTCUSDT_2026-02-12T23:31:31.975013_1507574384192,2026-02-12T23:31:31.975013,BTCUSDT,sell,0.0021019637921519396,66338.72404500001,139.44,0.14,139.3,Binance,2026
BTCUSDT_2026-02-12T23:31:44.005443_1507573435264,2026-02-12T23:31:44.005443,BTCUSDT,buy,0.001119120374136649,66405.095955,74.32,0.07,74.24,Binance,2026
BTCUSDT_2026-02-12T23:32:08.077565_1507574174080,2026-02-12T23:32:08.077565,BTCUSDT,buy,0.000558237957813177,66462.504645,37.1,0.04,37.06,Binance,2026
BTCUSDT_2026-02-12T23:32:32.168588_1507573443520,2026-02-12T23:32:32.168588,BTCUSDT,buy,0.00027864311456139886,66476.111445,18.52,0.02,18.5,Binance,2026
BTCUSDT_2026-02-12T23:32:56.499720_1507573248960,2026-02-12T23:32:56.499720,BTCUSDT,buy,0.0001391527162403837,66456.901845,9.25,0.01,9.24,Binance,2026
BTCUSDT_2026-02-12T23:36:32.893978_1507574388736,2026-02-12T23:36:32.893978,BTCUSDT,sell,0.0020983450727356306,66302.15234000002,139.12,0.14,138.99,Binance,2026
BTCUSDT_2026-02-12T23:36:35.892128_1507574384000,2026-02-12T23:36:35.892128,BTCUSDT,buy,0.001117163809484097,66368.48766,74.14,0.07,74.07,Binance,2026
BTCUSDT_2026-02-12T23:37:12.008537_1507574480192,2026-02-12T23:37:12.008537,BTCUSDT,buy,0.0005577275257313607,66370.41862499999,37.02,0.04,36.98,Binance,2026
BTCUSDT_2026-02-12T23:37:48.042781_1507573446720,2026-02-12T23:37:48.042781,BTCUSDT,buy,0.0002785329975223921,66349.52818499999,18.48,0.02,18.46,Binance,2026
BTCUSDT_2026-02-12T23:38:24.137055_1507574395712,2026-02-12T23:38:24.137055,BTCUSDT,buy,0.0001390977382097134,66330.3486,9.23,0.01,9.22,Binance,2026
BTCUSDT_2026-02-12T23:41:33.720479_1507574383424,2026-02-12T23:41:33.720479,BTCUSDT,sell,0.002093578160537719,66223.25181,138.64,0.14,138.5,Binance,2026
BTCUSDT_2026-02-12T23:41:51.734922_1507574184512,2026-02-12T23:41:51.734922,BTCUSDT,buy,0.001114392024427157,66308.22754499999,73.89,0.07,73.82,Binance,2026
BTCUSDT_2026-02-12T23:42:15.782907_1509678772416,2026-02-12T23:42:15.782907,BTCUSDT,buy,0.0005563599395972518,66308.22754499999,36.89,0.04,36.85,Binance,2026
BTCUSDT_2026-02-12T23:42:39.867121_1507573451328,2026-02-12T23:42:39.867121,BTCUSDT,buy,0.0002778425071804502,66289.14801,18.42,0.02,18.4,Binance,2026
BTCUSDT_2026-02-12T23:43:03.915307_1507574471040,2026-02-12T23:43:03.915307,BTCUSDT,buy,0.00013870871987294356,66291.098985,9.2,0.01,9.19,Binance,2026
BTCUSDT_2026-02-12T23:46:34.484409_1507574390336,2026-02-12T23:46:34.484409,BTCUSDT,sell,0.002090402225500041,66186.060415,138.36,0.14,138.22,Binance,2026
BTCUSDT_2026-02-12T23:46:52.550582_1507573015808,2026-02-12T23:46:52.550582,BTCUSDT,buy,0.0011125495366809948,66274.62075,73.73,0.07,73.66,Binance,2026
BTCUSDT_2026-02-12T23:47:28.676014_1507573010624,2026-02-12T23:47:28.676014,BTCUSDT,buy,0.0005555957486965842,66256.05147,36.81,0.04,36.77,Binance,2026
BTCUSDT_2026-02-12T23:47:52.735197_1507573537472,2026-02-12T23:47:52.735197,BTCUSDT,buy,0.0002773494602311635,66263.59524,18.38,0.02,18.36,Binance,2026
BTCUSDT_2026-02-12T23:48:16.851872_1507573443072,2026-02-12T23:48:16.851872,BTCUSDT,buy,0.0001384666486830433,66263.59524,9.18,0.01,9.17,Binance,2026
BTCUSDT_2026-02-12T23:51:35.276303_1507573243200,2026-02-12T23:51:35.276303,BTCUSDT,sell,0.0020856855215201442,66161.852525,137.99,0.14,137.85,Binance,2026
BTCUSDT_2026-02-12T23:51:59.351442_1507573384576,2026-02-12T23:51:59.351442,BTCUSDT,buy,0.0011102971205766041,66236.9019,73.54,0.07,73.47,Binance,2026
BTCUSDT_2026-02-12T23:52:23.378312_1507573015936,2026-02-12T23:52:23.378312,BTCUSDT,buy,0.0005543722499749482,66230.12851499999,36.72,0.04,36.68,Binance,2026
BTCUSDT_2026-02-12T23:52:47.731822_1507574484096,2026-02-12T23:52:47.731822,BTCUSDT,buy,0.000276741068660253,66237.102,18.33,0.02,18.31,Binance,2026
BTCUSDT_2026-02-12T23:53:14.533145_1509573362624,2026-02-12T23:53:14.534145,BTCUSDT,buy,0.00013816290934336411,66237.102,9.15,0.01,9.14,Binance,2026
BTCUSDT_2026-02-12T23:56:36.052229_1507574493312,2026-02-12T23:56:36.052229,BTCUSDT,sell,0.002081817391161846,66244.56115,137.91,0.14,137.77,Binance,2026
BTCUSDT_2026-02-12T23:56:42.085631_1507574465600,2026-02-12T23:56:42.085631,BTCUSDT,buy,0.0011080393030957997,66323.38512,73.49,0.07,73.42,Binance,2026
BTCUSDT_2026-02-12T23:57:06.136869_1507573579456,2026-02-12T23:57:06.136869,BTCUSDT,buy,0.0005531883450607524,66323.38512,36.69,0.04,36.65,Binance,2026
BTCUSDT_2026-02-12T23:57:30.210838_1507574464896,2026-02-12T23:57:30.210838,BTCUSDT,buy,0.0002763164044959498,66290.43865499999,18.32,0.02,18.3,Binance,2026
BTCUSDT_2026-02-12T23:57:54.241358_1507574471232,2026-02-12T23:57:54.241358,BTCUSDT,buy,0.00013791199336318238,66309.13799999999,9.14,0.01,9.14,Binance,2026
BTCUSDT_2026-02-13T00:01:37.117653_1507573436416,2026-02-13T00:01:37.117653,BTCUSDT,sell,0.0020784990541042906,66217.764555,137.63,0.14,137.5,Binance,2026
